now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
22,c,,,0.0
54,a,,,0.0
304,c,,,0.0
349,a,,,0.0
353,b,,,0.0
379,a,,,0.0
382,c,,,0.0
407,b,,,0.0
449,a,turn1,R,22.2
538,b,,,0.0
548,a,turn2,L,20.41
766,b,,,0.0
861,a,turn4,R,9.84
1083,c,,,0.0
1113,b,,,0.0
1194,a,turn6,R,24.56
1289,b,,,0.0
1301,a,turn7,L,51.14
1452,b,,,0.0
1473,a,turn8,L,7.09
1836,c,,,0.0
1842,a,,,0.0
1983,b,,,0.0
2083,c,,,0.0
2110,b,,,0.0
2233,a,turn10,R,35.46
2328,b,,,0.0
2344,a,turn12,L,20.22
2482,a,turn13,R,20.7
2820,c,,,0.0
